Model,AU_PRC,AU_ROC,Time,Data_Patition,SMOTE_OverPercent
TB,0.5863,0.9647,13.2842,0.5,400
KNN,0.5445,0.9655,15.6056,0.5,400
LOGIT,0.563,0.9651,0.4755,0.5,600
LASSO,0.002,0.3358,1.0231,0.5,600
RIDGE,0.004,0.5459,1.9411,0.5,600
NN,0.0901,0.941,43.3135,0.5,600
SVM,0.2101,0.9669,99.3213,0.5,600
RF,0.7669,0.9753,13.6139,0.5,600
TB,0.5545,0.969,18.5021,0.5,600
KNN,0.6078,0.9665,23.1965,0.5,600
LOGIT,0.6842,0.9603,0.7839,0.5,800
LASSO,0.0019,0.3319,0.9261,0.5,800
RIDGE,0.0091,0.6743,2.2428,0.5,800
NN,0.136,0.9572,126.6557,0.5,800
SVM,0.3549,0.9613,159.6618,0.5,800
RF,0.7836,0.9773,17.028,0.5,800
TB,0.7293,0.9739,22.7601,0.5,800
KNN,0.6586,0.9664,31.604,0.5,800
